date,close_btc,close_xrp,close_eth,close_ltc,close_eos,close_dash
11/15/2017,7283.22,0.2083,331.2,63.16,1.67,420.68
11/16/2017,7853.68,0.2269,330.32,70.7,1.67,419.44
11/17/2017,7699.95,0.2239,331.72,67.36,1.74,423.94
11/18/2017,7780.91,0.2275,346.65,69.42,1.92,453.55
11/19/2017,8042.64,0.2321,354.6,71.76,1.88,442.39
11/20/2017,8244.69,0.2406,367.71,72.38,1.99,485.96
11/21/2017,8099.97,0.2318,360.52,69.91,1.91,491.66
11/22/2017,8234.55,0.2385,380.84,72.03,1.89,573.66
11/23/2017,8013.41,0.24,406.57,72.94,1.88,561.55
11/24/2017,8200.8,0.241,470.43,77.54,1.88,560.92
11/25/2017,8754.69,0.2488,464.61,88.79,2.05,636.12
11/26/2017,9318.42,0.245,470.54,86.24,2.46,616.45
11/27/2017,9733.2,0.247,475.24,90.99,2.86,623.72
11/28/2017,9906.04,0.2795,466.27,94.22,2.76,609.83
11/29/2017,9837.86,0.2353,427.42,85.41,2.71,667.55
11/30/2017,9946.76,0.2356,434.85,85.94,2.84,758.71
12/1/2017,10861.47,0.2473,461.58,99.15,3.22,781.52
12/2/2017,10912.73,0.2441,457.96,99.32,3.91,764.95
12/3/2017,11246.21,0.2449,462.81,100.7,3.58,759.93
12/4/2017,11623.91,0.2462,466.93,103.87,4.04,764.64
12/5/2017,11667.13,0.2337,453.96,100.49,4.19,731.29
12/6/2017,13749.57,0.2182,422.48,98.97,4.47,667.35
12/7/2017,16850.31,0.2035,421.15,96,3.89,660.26
12/8/2017,16047.61,0.2337,451.74,125.24,4.22,700.25
12/9/2017,14843.42,0.2353,472.86,155.98,3.98,707.95
12/10/2017,15059.6,0.2271,436.49,147.84,3.67,669.63
12/11/2017,16732.47,0.2451,513.29,214.54,4.39,755.55
12/12/2017,17083.9,0.3555,656.52,328.52,5.08,881.35
12/13/2017,16286.82,0.4584,699.09,305.27,7.28,871.76
12/14/2017,16467.91,0.8507,693.58,279.81,8.2,927.76
12/15/2017,17604.85,0.7377,684.27,300.27,7.93,891.11
12/16/2017,19345.49,0.7397,692.83,302.04,8.35,987.53
12/17/2017,19065.71,0.7114,717.71,319.57,7.97,1084.54
12/18/2017,18972.32,0.7558,785.99,357.51,8.88,1142.44
12/19/2017,17523.7,0.7344,812.5,346.87,11.49,1136.12
12/20/2017,16461.97,0.7144,799.17,304.81,10.44,1433.41
12/21/2017,15632.12,1.12,789.39,307.69,10.64,1339.73
12/22/2017,13664.97,1,657.83,262.09,7.69,1099.65
12/23/2017,14396.46,1.01,700.44,284.11,8.26,1160.85
12/24/2017,13789.95,0.9782,675.91,272.24,7.99,1096.43
12/25/2017,13833.49,0.9805,723.14,268.21,8.15,1109.1
12/26/2017,15756.56,1.07,753.4,279.49,8.6,1180.57
12/27/2017,15416.64,1.21,739.94,264.07,8.72,1133.36
12/28/2017,14398.7,1.26,716.69,249.86,8.1,1103.06
12/29/2017,14392.57,1.93,739.6,243.13,8.12,1089.31
12/30/2017,12531.52,1.86,692.99,212.07,7.08,943.14
12/31/2017,13850.4,1.98,741.13,226.52,7.69,1013.89
1/1/2018,13444.88,2.05,756.2,224.34,7.64,1019.42
1/2/2018,14754.13,2.19,861.97,251.81,8.3,1162.47
1/3/2018,15156.62,2.73,941.1,244.63,9.43,1129.89
1/4/2018,15180.08,2.73,944.83,238.3,9.47,1120.12
1/5/2018,16954.78,2.51,967.13,244.51,9.29,1080.88
1/6/2018,17172.3,2.65,1006.41,278.92,9.83,1160.35
1/7/2018,16228.16,2.78,1117.75,271.57,10.16,1161.98
1/8/2018,14976.17,2.41,1136.11,254.25,9.6,1080.36
1/9/2018,14468.5,2.06,1289.24,246.04,9.23,1107.16
1/10/2018,14919.49,1.95,1248.99,249.1,11.2,1098.33
1/11/2018,13308.06,1.93,1139.32,226.53,11.27,1000.42
1/12/2018,13841.19,2.02,1261.03,235.35,13.8,1049.49
1/13/2018,14243.12,2,1385.02,257.94,16,1098.15
1/14/2018,13638.63,1.83,1359.48,236.86,13.23,999.61
1/15/2018,13631.98,1.66,1278.69,231.89,12.78,934.66
1/16/2018,11282.49,1.15,1050.26,183.86,10,743.43
1/17/2018,11162.7,1.31,1024.69,188.21,10.15,794.79
1/18/2018,11175.52,1.57,1012.97,191.03,10.18,821.16
1/19/2018,11521.76,1.54,1037.36,192.27,11.07,843.87
1/20/2018,12783.94,1.57,1150.5,210.68,15.53,925.1
1/21/2018,11549.93,1.37,1049.09,190.73,13.47,818.96
1/22/2018,10814.52,1.34,999.64,179.42,13.38,762.38
1/23/2018,10858.23,1.34,984.47,177.92,12.88,759.58
1/24/2018,11429.02,1.36,1061.78,180.59,13.9,787.92
1/25/2018,11175.87,1.3,1046.37,178.97,14.25,794.15
1/26/2018,11104.2,1.21,1048.58,175.65,14.24,782.76
1/27/2018,11459.71,1.22,1109.08,180.71,14.38,779.15
1/28/2018,11767.74,1.36,1231.58,193.23,14.75,821.25
1/29/2018,11233.95,1.27,1169.96,180.45,13.54,770.75
1/30/2018,10107.26,1.11,1063.75,165.38,11.35,682.2
1/31/2018,10226.86,1.14,1111.31,162.93,11.98,701.95
2/1/2018,9114.72,0.9503,1026.19,141.37,10.03,619.61
2/2/2018,8870.82,0.8989,917.47,131.17,10.23,594.49
2/3/2018,9251.27,0.9595,970.87,161,10.64,636.41
2/4/2018,8218.05,0.8166,827.59,147.55,8.89,546.5
2/5/2018,6937.08,0.6805,695.08,125.04,7.06,451.27
2/6/2018,7701.25,0.7619,785.01,141.85,8.29,523.06
2/7/2018,7592.72,0.7157,751.81,137.84,7.67,520.83
2/8/2018,8260.69,0.781,813.55,149.48,8.31,604.92
2/9/2018,8696.83,0.9201,877.88,163.9,9.48,635.73
2/10/2018,8569.29,1.03,850.75,154.91,8.9,631.42
2/11/2018,8084.61,0.9607,811.24,149.06,8.33,577.95
2/12/2018,8911.27,1.04,865.27,161.4,9.13,616.93
2/13/2018,8544.69,0.9866,840.98,159.05,8.94,592.84
2/14/2018,9485.64,1.13,920.11,212.01,9.85,677.41
2/15/2018,10033.75,1.11,927.95,221.08,9.84,696.01
2/16/2018,10188.73,1.11,938.02,228.39,9.84,694.16
2/17/2018,11097.21,1.18,974.77,229.41,10.02,739.43
2/18/2018,10417.23,1.07,913.9,214.22,9.06,686.1
2/19/2018,11182.28,1.11,939.79,221.97,9.49,727.72
2/20/2018,11256.43,1.03,885.52,229.38,8.88,686.25
2/21/2018,10481.66,0.9512,840.1,210.26,8.34,661.47
2/22/2018,9847.96,0.8904,804.63,192.91,7.78,629.41
2/23/2018,10175.51,0.9402,854.7,206.6,8.26,632.1
2/24/2018,9705.73,0.9009,833.49,206.35,7.9,591.64
2/25/2018,9610.11,0.9012,840.28,218.31,7.69,593.21
2/26/2018,10326.5,0.9296,867.62,218.62,7.99,623.38
2/27/2018,10594.76,0.9276,871.58,215.15,8.39,612.05
2/28/2018,10334.44,0.8853,851.5,202.14,8.19,585.69
3/1/2018,10929.37,0.9155,869.87,209.32,8.55,621.06
3/2/2018,11043.12,0.8983,855.6,212.59,8.02,605.83
